1	1_redbull_Red Bull_ Whale.mp4	129	https://cognitivestudy.blob.core.windows.net/videos/1_redbull_Red Bull_ Whale.mp4	15000	Red Bull: Whale Discover all the cartoons characters:	Title
2	2_autozone_AutoZone Commercial 2021_ Frustration Fix Finder.mp4	177	https://cognitivestudy.blob.core.windows.net/videos/2_autozone_AutoZone Commercial 2021_ Frustration Fix Finder.mp4	15020	AutoZone Commercial 2021: Frustration Fix Finder At AutoZone, weve got more ways for you to find a solution for any unexpected detour. Even a parking lot warning light. Our free Fix Finder service is the most complete, free warning light report backed by technician-verified fixes. It can even read more dashboard warning lights including your Check Engine Light, ABS Light and Service Interval Light, to	Title
3	3_sap concur_Concur Expense in a Flash.mp4	47	https://cognitivestudy.blob.core.windows.net/videos/3_sap concur_Concur Expense in a Flash.mp4	33510	Concur Expense in a Flash Simplify your company expense process and make life easier for employees. Cloud-based, mobile expense software lets employees capture receipts and submit claims in real time. Automation speeds up the review, processing, payment and auditing of expense claims, making it easier for finance to manage expenses and budgets effectively. Find out more at	Title
4	4_oakley_Oakley _ Lamar Jackson _ Be Who You Are.mp4	230	https://cognitivestudy.blob.core.windows.net/videos/4_oakley_Oakley _ Lamar Jackson _ Be Who You Are.mp4	15020	"Oakley | Lamar Jackson | Be Who You Are ""No matter where you're at, just be yourself."" - Lamar Jackson"	Title
5	5_brainly(is it tech sector b2c)_Brainly. For students, by students.mp4	137	https://cognitivestudy.blob.core.windows.net/videos/5_brainly(is it tech sector b2c)_Brainly. For students, by students.mp4	29190	Brainly. For students, by students. Brainly is the place to learn, for students, by students. The worlds largest social learning network with over 100 million users. Ask a question about a school work problem and get an answer within minutes! Don't get schooled. Get Brainly. Download the app! iOS: Android: Web:	Title
6	6_redbull_Superhero.mp4	129	https://cognitivestudy.blob.core.windows.net/videos/6_redbull_Superhero.mp4	30000	Redbull - SuperHero red bull ad check out for some sick redbull stuff thanx / MeLikeRedBull@hotmail.com	Title
7	7_sofi_SoFi _ Breakup with Credit Card Debt.mp4	110	https://cognitivestudy.blob.core.windows.net/videos/7_sofi_SoFi _ Breakup with Credit Card Debt.mp4	29770	SoFi : Breakup with Credit Card Debt A man telling his story about credit debt with all the events being exaggerated and made comedic.	Title
8	8_mcdonalds_QPC_ This is a burger that strongly suggests you take a seat.mp4	204	https://cognitivestudy.blob.core.windows.net/videos/8_mcdonalds_QPC_ This is a burger that strongly suggests you take a seat.mp4	30050	QPC: This is a burger that strongly suggests you take a seat. This is 100% Fresh beef. This is two slices of melted cheese, pickles, onions, ketchup AND mustard. This is the Quarter Pounder with Cheese. Try your fresh and juicy QPC at McDonalds today.	Title
9	9_carrabbas italian grill_10 Dollar Take Home 15v2.mp4	24	https://cognitivestudy.blob.core.windows.net/videos/9_carrabbas italian grill_10 Dollar Take Home 15v2.mp4	15020	$10 Dollar Take Home 15v2 Any Night. Only $10. Dine-in and order any regularly priced entree and take home your choice of a complete meal, including soup or salad for just $10. For dine-in only. Restrictions apply.	Title
11	11_ferrero_Discover Ferrero Rocher.mp4	22	https://cognitivestudy.blob.core.windows.net/videos/11_ferrero_Discover Ferrero Rocher.mp4	16140	Discover the Story of Ferrero Rocher® Showing the origin of the company, and the origin of the ingredients of the product.	Title
12	12_skechers_Skechers Kids Perfect Fit commercial.mp4	189	https://cognitivestudy.blob.core.windows.net/videos/12_skechers_Skechers Kids Perfect Fit commercial.mp4	15020	Skechers Kids Perfect Fit commercial With all the playing, running, and jumping your kids do, dont they deserve a shoe that fits them perfectly? Skechers Kids has a wide variety of fun, high-quality styles designed to keep them growing and going! With cool and comfy features like Skechers Air-Cooled Memory Foam or lights that blink with every step, your littles are sure to find a	Title
13	13_marc jacobs_Introducing the newest Daisy_ DAISY EVER SO FRESH 30SEC.mp4	240	https://cognitivestudy.blob.core.windows.net/videos/13_marc jacobs_Introducing the newest Daisy_ DAISY EVER SO FRESH 30SEC.mp4	30000	Introducing the newest Daisy: DAISY EVER SO FRESH 30SEC The fresh, whimsical, and long-lasting DAISY EVER SO FRESH MARC JACOBS.	Title
