1	1_redbull_Red Bull_ Whale.mp4	129	https://cognitivestudy.blob.core.windows.net/videos/1_redbull_Red Bull_ Whale.mp4	15000	Title+Desc+1_redbull_Red Bull_ Whale.mp4
2	2_autozone_AutoZone Commercial 2021_ Frustration Fix Finder.mp4	177	https://cognitivestudy.blob.core.windows.net/videos/2_autozone_AutoZone Commercial 2021_ Frustration Fix Finder.mp4	15020	Title+Desc+2_autozone_AutoZone Commercial 2021_ Frustration Fix Finder.mp4
3	3_sap concur_Concur Expense in a Flash.mp4	47	https://cognitivestudy.blob.core.windows.net/videos/3_sap concur_Concur Expense in a Flash.mp4	33510	Title+Desc+3_sap concur_Concur Expense in a Flash.mp4
4	4_oakley_Oakley _ Lamar Jackson _ Be Who You Are.mp4	230	https://cognitivestudy.blob.core.windows.net/videos/4_oakley_Oakley _ Lamar Jackson _ Be Who You Are.mp4	15020	Title+Desc+4_oakley_Oakley _ Lamar Jackson _ Be Who You Are.mp4
5	5_brainly(is it tech sector b2c)_Brainly. For students, by students.mp4	137	https://cognitivestudy.blob.core.windows.net/videos/5_brainly(is it tech sector b2c)_Brainly. For students, by students.mp4	29190	Title+Desc+5_brainly(is it tech sector b2c)_Brainly. For students, by students.mp4
6	6_redbull_Superhero.mp4	129	https://cognitivestudy.blob.core.windows.net/videos/6_redbull_Superhero.mp4	30000	Title+Desc+6_redbull_Superhero.mp4
7	7_sofi_SoFi _ Breakup with Credit Card Debt.mp4	110	https://cognitivestudy.blob.core.windows.net/videos/7_sofi_SoFi _ Breakup with Credit Card Debt.mp4	29770	Title+Desc+7_sofi_SoFi _ Breakup with Credit Card Debt.mp4
8	8_mcdonalds_QPC_ This is a burger that strongly suggests you take a seat.mp4	204	https://cognitivestudy.blob.core.windows.net/videos/8_mcdonalds_QPC_ This is a burger that strongly suggests you take a seat.mp4	30050	Title+Desc+8_mcdonalds_QPC_ This is a burger that strongly suggests you take a seat.mp4
9	9_carrabbas italian grill_10 Dollar Take Home 15v2.mp4	24	https://cognitivestudy.blob.core.windows.net/videos/9_carrabbas italian grill_10 Dollar Take Home 15v2.mp4	15020	Title+Desc+9_carrabbas italian grill_10 Dollar Take Home 15v2.mp4
11	11_ferrero_Discover Ferrero Rocher.mp4	22	https://cognitivestudy.blob.core.windows.net/videos/11_ferrero_Discover Ferrero Rocher.mp4	16140	Title+Desc+11_ferrero_Discover Ferrero Rocher.mp4
12	12_skechers_Skechers Kids Perfect Fit commercial.mp4	189	https://cognitivestudy.blob.core.windows.net/videos/12_skechers_Skechers Kids Perfect Fit commercial.mp4	15020	Title+Desc+12_skechers_Skechers Kids Perfect Fit commercial.mp4
13	13_marc jacobs_Introducing the newest Daisy_ DAISY EVER SO FRESH 30SEC.mp4	240	https://cognitivestudy.blob.core.windows.net/videos/13_marc jacobs_Introducing the newest Daisy_ DAISY EVER SO FRESH 30SEC.mp4	30000	Title+Desc+13_marc jacobs_Introducing the newest Daisy_ DAISY EVER SO FRESH 30SEC.mp4
14	14_target_Hilton Carter for Target.mp4	154	https://cognitivestudy.blob.core.windows.net/videos/14_target_Hilton Carter for Target.mp4	30050	Title+Desc+14_target_Hilton Carter for Target.mp4
15	15_ford motor company_The 2021 Ford Mach-E_ New Kind of Mustang _ Ford _30.mp4	25	https://cognitivestudy.blob.core.windows.net/videos/15_ford motor company_The 2021 Ford Mach-E_ New Kind of Mustang _ Ford _30.mp4	35040	Title+Desc+15_ford motor company_The 2021 Ford Mach-E_ New Kind of Mustang _ Ford _30.mp4
